"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"083","001","Aporte patronal por Serv. Bonificados Policiales y Militares","Ley N° 20130 Art 21 numeral 6 fija el porcentaje de aportación por servicios bonificados tanto para el Servicio de Retiro de las Fuerzas Armadas  10.9 % y para la Caja Policial 23.10%."
"085","000","Complemento contribución patronal cuota mutual","Partida destinada para el pago de aportes patronales a BPS por concepto de cuota mutual, creado por Ley 16320 1/11/1992, arts.337 y siguientes. Para los contratos a término, el régimen se creó por art.14 Dto 85/2003, con la rectificación del art.14 del Dto.376/2003.  En este caso, los funcionarios no perciben en ningún caso el aporte por cuota mutual, objeto 064."
"086","000","Aporte patronal a Fondo Reconversión Laboral","Según consulta realizada por ONSC a BPS el aporte patronal al Fondo de Reconversión Laboral por empleados, no funcionarios públicos, contratados a término únicamente corresponde si los mismos pertenecen a Entes del dominio comercial o industrial del Estado. Otros modalidades contractuales: a estudio de CGN."
"087","000","Aporte patronal a FONASA","Part.destinada al pago de aportes patronales al FONASA (Fondo Nacional de Salud) a cargo del empleador según el lit.C) A3 L18131 18/05/2007,que es el 5% de las retribs.sujetas a montepío sin agui. Incluye Incisos 01,02,05(menos Casinos)06 al 19,25, 27y 29 exceptua a Incisos 03-MDN, 04-MI.Tampoco incluye a becarios y pasantes.(Ajuste en la financ.1.1en c/UE). Trasp.:siempre en la fin.1.1-DPRGyEPRG, y en Refuerzo: se incluye dentro de la solicitud del G0 fin.1.2."
"087","001","Aporte patronal a FONASA- func. perm. en el Exterior","Codifica el aportes patronal a FONASA para los funcionarios del MRREE que cumplan funciones permanentes en el Exterior, tomando como base el total de las remuneraciones que percibirían si estuvieran prestando servicios en territorio nacional, de acuerdo a lo establecido por el A137 L17930 19/12/2005."
"088","000","Pago seguro contratado con el Banco Seguros del Estado","Partida destinada al pago del seguro contratado con el Banco de Seguros del Estado por parte del Organismo Contratante de acuerdo a lo dispuesto por el artículo 8º del Decreto Nº 53/2011 de 7 de febrero de 2011 que reglamenta el Contrato Laboral de acuerdo al régimen dispuesto por el artículo 54 de la Ley 18719 de 27 de diciembre de 2010 (Objeto de Gasto 031/006)."
"089","000","Otras cargas legales sobre servicios personales","Prestaciones exentas A167 L16713 3/09/1995, del régimen gral. establecido por el A153 de la misma ley. Si no exceden el 20% de la retribuc. gravada en efectivo, se aplicarán los porcentajes establecidos por el A92 L18083 27/12/2006-Ley de Reforma Tributaria, 1/1/2009: 2,5%, 1/1/2010: 5% y desde 1/1/2011: 7,5%."
"091","000","Retribuciones de ejercicios vencidos A49 L17930","Codifica las retribu.ejercicios vencidos, art.49 de la Ley 17930 de 19/12/2005 y art. 45 de la ley 16 320 de 1/11/92.HISTORICO Al objeto 091se imputa en forma global el total de retribuciones, inclusive el aguinaldo cuando corresponda. Por el contrario, si corresponden aportes patronales se debe imputar en los respectivos objetos del sub grupo 08. ACTUAL 01/01/2021 Se habilitó credito en cada Inciso (TC 3).Puede trasponer entre programas TMP 48 Inc 2 a 15,36,16 a 19. TMP 51 27,31 a 35."
"091","015","Economías ejercicios vencidos 2015","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2019- Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 a los respectivos objetos del sub-grupo 08."
"091","016","Economías ejercicios vencidos 2016","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2020- Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 a los respectivos objetos del sub-grupo 08."
"091","017","Economías ejercicios vencidos 2017","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2020- Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 (25y26) y TMP 37 (Inc.29) a los respectivos objetos del sub-grupo 08."
"091","018","Economías ejercicios vencidos 2018","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2020- Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 (25y26) y TMP 37 (Inc.29) a los respectivos objetos del sub-grupo 08."
"091","019","Economías ejercicios vencidos 2019","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2021- Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 (25y26) y TMP 37 (Inc.29) a los respectivos objetos del sub-grupo 08."
"091","020","Economías ejercicios vencidos 2020","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2024 - Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 (25y26) y TMP 37 (Inc.29) a los respectivos objetos del sub-grupo 08."
"091","021","Economías ejercicios vencidos 2021","Codifica las retribuciones correspondientes a economías ejercicios vencidos hasta 2024 - Inciso 25y26, por A 49  L17930/2005 y modificativa Art.82 18719 de 27/12/2010 -Ley Pto 2011-2014, TC=1 e Inc.29 A590 L19355 19/12/2015 -Ley Pto.2015-2019. El objeto incluye aguinaldo cuando corresponda. Si corresponden aportes patronales se traspone por TMP 51 (25y26) y TMP 37 (Inc.29) a los respectivos objetos del sub-grupo 08."
"091","022","Economías ejercicios vencidos 2022",""
"091","023","Economías ejercicios vencidos 2023",""
"091","024","Economías ejercicios vencidos 2024",""
"091","025","Economías de ejercicios vencidos.2025","Codifica las Economías de ejercicios vencidos años 2025."
"092","000","Partidas globales a distribuir","Partidas globales para distribuir en función de la normativa legal que las dispone expresamente. Por ej. para reestructuras, etc.L17930 A190 URSEA"
"092","001","Partida global a distribuir p/contratos del PNUD","Partida presupuestada por Planillado en Presidencia, UE 001 y UE 004 para contratos de servicios personales del PNUD, con aquellas personas que al 31/12/2005, se encuentren vinculadas a los Incisos de la Administración Central mediante contratos a través de Organismos Nacionales o Internacionales, no prodrán superar el 31/12/2006, no serán funcionarios públicos y se distribuirá al OG 057 008 ""Contratos no funcionarios públicos"", según A.8 L17930 del 19/12/2005."
"092","002","Partida global a distribuir p/ Adscriptos","Partida global anual a efectos de atender las erogaciones que demande la contratación de personas que en calidad de adscriptos colaboren directamente con el Presi, el Secre y el Prosecre de la Presidencia de la República. Se redistribuye por alta y baja al amparo del Art .83 de la Ley N° 16.736  en la redacción dada  por el art 65 L17930 al OG 057/006. Ley N° 18719 A.58 nutre al 057/010 Adscriptos de MInistros"
"092","003","Partida global a distribuir - incremento salarial MDN","Partida a distribuir para incremento salarial en el MDN otorgado por Pto. 2025."
"092","004","Partida global para reformulación de estructuras","Hist-Se crea este objeto p/aplicación del artículo 29 de la Ley N° 17930 en la redacción dada p/art.44 de la Ley 18.046. Parrafo 6° expresa que se podrán utilizar en forma transitoria para la reformulación de las estructuras previstas en el artículo 6º de la ley N° 17930. Se deroga por Art 7 de ley N° 19.355.Actual-Art.41 L.18.719 Suprime las funciones de Alta Especialización. Art. 12 L.18.996 permite q/los créditos disponibles p/ supresión de alta especialización financien reestructuas"
"092","007","Partida global p/reestructuras A6 L18362","Partida que habilita los créditos suprimidos en cumplimiento de lo dispuesto por A43 L18.046 24/1072006, con las modificaciones introducidas por A26 L18.172 31/08/2007, con destino al financiamiento de la reestructura de los puestos de trabajo de las Unidades Ejecutoras de los Incisos 02 al 11 y 13 al 15."
"092","008","Partida indisponible ","Inc 03 saldo sin distribuir de la compensación al cargo del art.123L.18172. Será utilizada cuando se distribuya a la totalidad de los cargo."
"092","009","Fondo de Suplencias en Centros Asistenciales","Inciso 29 Fdo creado por Art. 455 Ley 15809 Para pagar suplencias a los funcionarios de ASSE. Art.596 19355 le pone tope a dicho Fondo.
Patida otorgada inicialmente en el 092/000, se abre este auxiliar para trasponerla y tenerla identificada."
"092","010","Partida global p/diferencia tabla generada por ascensos DGI","Dto 227/2013 A 6to y 271/2016  Autoriza a tranformar vacantes de cargos existentes y las q se generen hasta el 29/02/2020.Para cada vacante 1 un cargo de ingreso.La diferencia de créditos resultante entre la vacante y el cargo de ingreso, se acreditará en el Objeto 092.010- In 05 U.E 005 , para financiar la diferencia del valor de tabla generada por los ascensos de las listas de prelación resultantes de los concursos de ascenso de la Dirección General Impositiva."
"094","000","Fdo p/financiar cargos o func. a personas c/discapacidad","Según Art.50 L.18651, el 4% del crédito de los cargos de Conducción (CO), se transferira a este objeto de gasto con destino exclusivo a rehabilitar cargos o funciones contratadas a ser provistos con personas con discapacidad. La reserva se hace sobre los cargos ocupados y vacantes."
"095","000","Fondos presupuestales","Sub-grupo del grupo 0 que se define como Fondos Presupuestales, que de acuerdo a disposiciones legales tendrán un destino específico. Por Instructivo N.1/2012 CGN y Decreto Nº 13/2012 de 25 de enero de 2012, no llevò aumento salarial en el ejercicio 2012 ."
"095","002","Fondo para Contratos Temporales Dcho Público y Provisoriatos","El A53 L18719-Define el Contrato Temp.Dcho Pco, p/Inci 02 al 15.El A55:1)deroga normas y 2)determina que no rige el régimen previsto por los A30 a 43 L17556 , y A18 L17930 , y A48-49 L18406. Nutre Obj. 031/004.Al 031/007 por interfaz.El A13 L19149  autoriza a financiar contr de trabajo.Financia transf.cargos en Inc.11 UE001 p/A118 L19535 y reasign.de crèdito al Inc.11 UE001, Ob.Gto 057/000 pro A121 L19535-Rd.Ctas 2016.(Trasp ent si inf CARO)"
"095","003","Fondo para Contrataciones Cachet","Codifica para los Incisos 02 al 15, de los contratos artísticos,  de acuerdo a lo previsto por el  A52 L18719 27/12/2010, y los Contratos de Cachet vigentes a la Ley de Prespuesto-Inciso 11-MEC, este Fondo se nutre del objeto del gasto 286/000. Este Fondo es a los efectos de controlar de las contrataciones que se generen en el objeto 031/005. Incluye aguinaldo, aportes y FONASA. Se ajusta por aumento salarial."
"095","004","Fondo para Contratos Laborales","Partida analít Inc 02 al 15, los contratos labor que se regiran por las normas del Der. Privado del Trabajo, por A54 L18719.El Fondo nutre al OGto 031/006 por alta y baja (TMP 11 y 21) aguina y ap. incluidos. OGto 088/000 Aporte Patronal Bco Seguros del Estado y FONASA. Por Instr. N.1/2012 CGN no llevaba aumento salarial Dec. Nº 13/2012 de 25/01/12. Se modificó y si lleva aum. Reasign.crèdito del Inc.11 UE 003 OGto 299/000 por A125 L19535-RCtas 2016."
"095","005","Fondo p/financiar funciones transitorias y de conducción","A 56 L.18719 Suprime todas las vacantes de cargos y funciones Esc Conducción y vacantes de Director Division y Jefe Depto.El crédito se tranfiere a este objeto y financia asignaciòn de funciones transitorias y posteriormente a financiar las funciones de conducción del nuevo sistema escalafonario. Dto. 244/014 20/08/2014 (CARO). Incisos 02 al 15. Sólo se nutre de la supresión de las vacantes."
"095","006","Fondo para Contratos de Trabajo","El A92 L19121 20/08/2013 define al personal con contrato de trabajo por el plazo de hasta 2 años y prórrogas por idéntico plazo.
Se ejecuta en Objeto de Gasto 031/009 ""Contrato de Trabajo A92 L19121"". El A13 L19149 24/10/2013 autoriza a financiar los contratos de trabajo con los créditos asignados para la contratación de personal en régimen de contratos temporales de derecho público."
"095","007","Fondo para Contrato Zafral","Ley 19996 Art. 8 ""Contrato Zafral"" Toda contratación que implique prestación de servicios a título personal en tareas asimiladas a los escalafones A,B,C,D,E,F,J y R, en Adm. Central. No podrá exceder el contrato los 8 meses, no admitiendo prórroga ni renovación. Se realizan las reasignaciones a los efectos de financiar las contrataciones. Nutre el OG 031/012."
"095","008","Fondo para Contrato función pública","Ley 19996 Art. 7 Toda contratación de función pública que implique prestación de servicios a título personal en tareas asimiladas a los escalafones A,B,C,D,E,F,J y R, en Adm. Central. Plazo de contratación será el que en cada caso se determine, no pudiendo exceder de un año, pudiendo prorrogarse hasta un máximo de cuatro años. Se realizan las reasignaciones a los efectos de financiar las contrataciones. Nutre el OG 031/013."
"095","009","Fondo para Contratos Retirados Policiales","El Art. 167 de la ley N° 19.924 establece la facultad de contratar hasta 1000 retirados policiales por el plazo de 4 años prorrogable por dos años mas. Dto Reglamentario N° 295/021. Decreto 426/021 modifica el art.6 Dec. 295/021.Se realizan las reasignaciones a los efectos de financiar las contrataciones. Se financia con el objeto 057/001 Becas y otros créditos disponibles que surjan de las reestructuras. Nutre al OG 031/014 Contratos de Retirados Policiales."
"095","999","Reserva de crédito para Provisoriatos"," Reserva del crédito para  contratos de provisoriatos. A 50.18.719 y 90 L 19121.  Disminuye del Fondo de Contrataciones(095/002) o de partida global  (092/000, 098/000, 099/000, 099/001 y se alta en el 095/999."
"097","000","Partida a reasignar","Clasifica las partidas originadas en la Reforma del Estado a reasignar."
"097","011","Partida a reasignar proveniente de economías","Clasificación otorgada a efectos de reservar el remanente de la distribución en forma transitoria"
"098","000","Serv. personales para uso excl. Entes Descentr. Pto. Nal.","Codifica las asignaciones globales para el grupo 0 aprobadas por el Poder Legislativo para los Entes Autónomos Descentralizados que integran el Presupuesto Nacional: ANEP, Universidad de la República, INAU (Instituto del Niño y Adolescente del Uruguay)
-ex INAME.INISA"
"098","001","Partida A.3 L19.310","Partida para adecuar remuneraciones del Inciso 16 amparado en el Art. 383 de la Ley N° 19149 (PE potestad de readecuar remuneraciones). Posee incluído Aguinaldo y Aportes. Se distribuye al 042/126. (A3 L19310 7/01/15 y A1 del Dto. 369/015 30/12/2015)."
"098","005","Partida equiparados L19.310","Partida Inciso 11 UE 17,18, 20 y 21 e Incisos 19 y 33 asociado al Art. 383 de la Ley N° 19149 (PE potestad de readecuar remuneraciones). Posee incluído Aguinaldo y Aportes. Se distribuye al 042/126, Equiparados del Poder Judicial (A3 L19310 7/01/15 y A5 del Dto. 369/015 30/12/2015)."
"098","006","Partida A.1 L19.485 - Inc. 16, 19 y 33","Clasifica la partida que por el A1 de la L19485 de 15/03/2017 autoriza el incremento de créditos para cumplir el Convenio Colectivo celebrado entre el MTSS, PE e Incisos 16 ""PJ"",19 ""TCA"" y 33 ""FGN"" con cargo a RR.GG. Incluye aguinaldo y aportes.
Se distribuye al OG 042/127 más aguinaldo y aportes, donde se ejecuta el gasto.
Por A1 de la L19625 de 11/06/2018 se autoriza el pago de 2 cuotas y el incremento del Convenio entre MTSS, PE, Inciso 16=PJ y la Asociaciòn de Funcionarios Judiciales. 
"
"098","007","Partida para diferendo salarial esc. N - Inc 33","Creado en pto. 2025 para asignaciones en Inciso 23 que se irán reasignando al Inciso 33 con la condición de que se suscriban convenios en el MTSS con la liquidación y desestimiento de acciones judiciales adicionales."
"099","000","Otras retribuciones","Codifica las retribuciones no incluidas en los objetos anteriores."
"099","001","Partida proyectada","Partida presupuestada que codifica en cada Inciso del 2 al 15, en la UE001, los créditos permanentes de los objetos del gasto 092/000, 092/004, 092/006, 092/007, 099/000 y 099/099. Por Resolución del Director de Secretaría y con el visto bueno del MEF, se reasigna a las UEjecutoras de cada Inciso. Inc.02-Financia A64 L18834 comp.Esc. Conducción, y A71 L18834 becas de trabajo y pasantías.Se distribuye por alta y baja no por matriz. Reasign.del 251/000 de Inc.09.UE001 por A107 L19535 RdCta2016"
"099","002","Financiación de Estructuras Organizativas","HIST.Part Inc.23 p/Financ.Restruc aprob.p/P.E(incre = importe a partir 2012 $100.000.000, inclui.agui.y cargas leg), p/los Inc.  A.C costo no podrà exceder el 5% d/masa salarial s/A.753 L.18719.Incluye s/Instruc ONSC
A.62 L.18719 permite utilizar créditos d/cargos vacantes p/transformación q/considere necesaria p/su funcionamiento(van en el Inc.UE001) hasta aprob.reestruc.org.CGN resignara créditos.El art. 8 L.19.149 amplia p/contratos d/otros regímenes (031/004,033/000,038.000) Mueve p/11.21"
"099","003","Partida a distribuir - negociación colectiva COFE","Creado en Pto. 2025"
"099","004","Partida a distribuir - negociación colectiva ANEP","Creado en Pto. 2025"
"099","005","Partida a distribuir - negociación colectiva UDELAR","Creado en Pto. 2025"
"099","007","Partida a distribuir - negociación colectiva Poder Judicial","Creado en Pto. 2025"
"099","008","Partida a distribuir - negociación colectiva ASSE","Creado en Pto. 2025"
"099","010","Partida a distribuir - MI","Creado en Pto. 2025"
"099","095","Partida para recomposición de estructuras remunerativas","Partida para Recomposición de Estructuras Remunerativas a fin de homogeneizarlas. L18.719  A361-Inciso 07, A429-Inciso 09, A501-Inciso 11. Inciso 05 UE 007 A179 L18362. Por A232 L19535 - Rendiciòn de Cuentas 2016 de 25/09/2017 se incrementa partdia en el Inciso 23, con destino a pagar Partida Anual Estìmulo a la Asiduidad, a partir del ejercicio 2018.Incrementa A.316 L.19670"
"099","096","Partida p/recomposición rem. a cta de futuras restruct. MEC","Reservado Rendición de Cuentas 2021"
"099","099","Partida global SIMPLI a nivel de Inciso","Incluida en el objeto del gasto 099/001""Partida Proyectada"". Financia creaciòn de cargos en Inciso 15 UE001 por A176 L19535 25/09/2017-Rend. Ctas 2016."
"111","000","Alimentos para personas","Todo insumo/producto c/destino final a la alimentación/personas. Obj./Gto. habilitado forma expresa p/ Ley del Presupuesto Nac. 19.355 de 19/12/2015 p/los Inc.s: 03""MDN"", 04""M.Interior"" y 15""Mides"", no podrá ser reforzante en la matriz de transp.. Reasigna del Inc.15 UE 003 al Inc. 27 UE 001(289/001) A. 181 L. 19.535 - R.Ctas. 2016, p/concepto de alimentación Plan CAIF. Hab.forma expresa. Ej/2024, Res. 012742/024.. No traspone por Matriz. Solicita p/GMAP. Ajusta a Padrón en Inc.07; UE/010."
"111","001","Alimentos para personas adquiridos a través de UCA","Alimentos para personas cuyas compras se realizan a través de la Unidad Centralizada de Adquisición de Alimentos U.C.A.A.
La Ley N°18.172 Art.163 crea la UCA que absorbe a las antiguas UCAA y UCAMAE"
"111","002","Complemento canasta alimentaria COVID -19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"111","003","Alimentos para personas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe transposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020. Estimativo desde 2025."
"112","000","Alimento para animales","Todo  insumo o producto cuyo  destino final  es la alimentación de animales"
"113","000","Productos pecuarios","Animales comprados vivos para consumo o uso cientifico"
"114","000","Productos agroforestales y sus manufacturas","Productos para consumo final, tales comoÑgoma laca, resinas, y bálsamos, césped, árboles y arbustos, carbón vegetal,madera,etc
manufacturados o no(excepto muebles)."
"115","000","Materias primas agropecuarias y forestales","Productos de orígen agropecuario o forestal utilizados como materias primas.Insumos, ej. semillas, postes,etc."
"116","000","Materias primas de origen acuático","Productos de orígen acuático utilizados como materias primas."
"119","000","Otros productos alimenticios, agropecuarios y forestales","Otros productos alimenticios, agropecuarios, forestales y acuáticos, no especificados en los objetos del gasto anteriores."
"121","000","Hilados y telas","Fibras, tejidos naturales, sintéticos y artificiales."
"121","001","Hilados y telas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"122","000","Prendas de vestir","Vestimenta, calzado, uniformes, y todo otro tipo de ropa de trabajo para diversos usos. Habilitado de forma expresa para Inciso 04, Ejercicio 2024, Res. 012742 de 11/12/2023. No traspone por Matriz. Se solicita p/GMAP.
"
"122","001","Diferencia reintegro p/concepto eq. Oficiales MDN (No Vig)","Reintegro por concepto de equipos reglamentarios, pagadero en forma mensual, a los Oficiales de las Fuerzas Armadas, Oficiales de Reserva incorporados y Oficiales reincorporados, de acuerdo a lo dispuesto por el A1 Dec.497/997 31/12/1997 que incrementa la compensación. Objeto de gasto habilitado en forma expresa, no podrá ser reforzante por Ley de Presupuesto Nacional 19355 de 19/12/2015 para el Inciso 03 ""Mrio. de Defensa Nacional"""
"122","002","Equipos para el personal de vigilancia en playas","Este objeto registra la adquisición de los equipos del personal destinado a atender los Servicios de Vigilancia y Salvataje en las playas y costas, de acuerdo a lo dispuesto en el A.79 del Decreto-Ley 14252 en la redacción dada por el A.106 L.16.736"
"122","003","Uniformes área asistencial-Sector Salud","Este objeto registra la adquisición de los equipos, uniformes del personal del Sector Salúd. (área asistencial)"
"122","004","Uniformes área no asistencial-Sector Salud","Este objeto registra la adquisición de los equipos, uniformes del personal del Sector Salúd. (área no asistencial)"
"122","005","Ropa usuarios internación-Sector Salud","Este objeto registra la adquisición de ropa usuarios en internación del personal del Sector Salúd."
"122","301","Dif. reintegro p/Equipos Oficiales-Militar","Ver  A.1 Dec497/97"
"123","000","Confecciones textiles","Sábanas, mantas , toallas, cortinas,etc.  
Se habilito a solicitud del MSP por mail el 27/7/2012
Objeto de gasto habilitado en forma expresa, no podra ser reforzante por Ley Pto. Nal. 19.355 2015-2019 -Inciso 15 ""MIDES"""
"124","000","Cuero, pieles y similares","Productos en estos materiales para insumos."
"129","000","Otros productos textiles,de vestir art. de cuero o similares","Otros productos textiles, de cuero o de vestir, no especificados en los objetos del gasto anteriores."
"131","000","Papeles de oficina","Papel ,papel copia, rollos para máquina de calcular. En general, todo papel sin ningún tipo de impresión."
"132","000","Productos de papel y cartón","Papel y cartón en sus diversas formas y clases, como biblioratos, carpetas, cajas, sobres, toallas, rollos higiénicos,etc."
"133","000","Formularios, impresos y similares","Impresión de papelería para tareas de oficina y diversos formularios impresos tales como recibos, facturas, papel numerado, folletos, etc."
"133","001","Impresión formularios DGI","Codifica el gasto originado por la impresión de formularios que realiza la DGI. La naturaleza del gasto, el que està asociado con la recaudaciòn del impuesto es de caracter ESTIMATIVO. Informe del MEF del 9/09/2020."
"133","002","Formularios, impresos y similares COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"134","000","Productos de artes gráficas","Productos de papel tales como cuadernos, calendarios, Diarios, semanarios, afiches,y demás productos de artes gráficas.
Se exceptúan libros y revistas"
"135","000","Libros, revistas y otras publicaciones","Productos de la industria editorial, tales como libros, revistas, folletos y otras publicaciones.Se exceptuan diarios y semanarios."
"135","001","Libros, revistas, art. técnicos, guías en formato digital","Productos  tales como libros, revistas, artìculos tècnicos, guias en formato digital."
"136","000","Especies timbradas y valoradas","Material impreso valorado conforme a las disposiciones que expresamente lo determinan para ser utilizado en la recaudación de ingresos.¨Por ejemplo: papel sellado, formularios de la DGI,etc."
"136","001","Estampillas para whisky importado","Codifica la erogación resultante de la impresión de estampillas para colocar en las botellas de whisky importado. 
Mediante la venta de las estampillas se traslada el costo de impresión a los usuarios. El producido de la venta de estas estampillas es transferido a Rentas Generales. La naturaleza del gasto, el que està asociado con la recaudaciòn del impuesto es de caracter ESTIMATIVO. Informe del MEF del 9/09/2020."
"139","000","Otros productos de papel, libros e impresos","Productos de papel, cartón e impresos no incluidos en los objetos anteriores."
"141","000","Combustibles derivados del petróleo","Combustibles y lubricantes derivados del petróleo, y del gas natural, tales como gasolina, diesel, etc, alcoholes y otros similares."
"141","001","Combustible de aeronaves","Objeto específico para identificar el crédito presupuestal destinado a ""Combustible de aeronaves"" para el Inciso 03:""MDN"" . Combustible y lubricante derivado del petróleo, y del gas natural, tales como gasolina, diesel, etc, alcoholes y otros similares."
"141","002","Combustible aeronaves COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"142","000","Electricidad","Energía eléctrica en bloque para la venta por parte de empresas de electricidad, y la energía eléctrica utilizada para uso industrial y la producción de bienes."
"143","000","Supergas","Supergas para uso doméstico, industrial, como combustible en vehículos automotores y etc. (solamente costo de la recarga en garrafas de 3, 13 y 45 kgs., ver catálogo SICE)."
"144","000","Carbón mineral","Carbón mineral adquirido paara usos energéticos o como combustible en procesoso industriales y la producción de bienes.."
"145","000","Productos energéticos de origen vegetal","Carbón vegetal y leña adquiridos para usos energéticos o como combustible."
"146","000","Energía nuclear","Material nuclear para la producción de materiales radiactivos, para su uso en procesos industriales y energéticos, en laboratorios o para su utilización como combustible."
"149","000","Otros productos energéticos","Otras formas de energía y combustibles no clasificados en los objetos del gasto anteriores."
"151","000","Lubricantes y otros derivados del petróleo","Sustancias o productos químicos como aceites, grasas, etc. Para lubricar maquinaria y equipos. También comprende otros derivados del petróleo como por ejemplo bituminosos, etc."
"152","000","Productos medicinales y farmacéuticos","Drogas y Medicamentos utilizados en hospitales, clínicas y policlínicas. Objetos de gasto habilitados en forma expresa, no podrán ser reforzantes por Ley 19.355 2015-2019, para los Incisos 03 ""MDN"" y 04 ""MI"". 
Res. 012742 de 14/12/2023, habilitado en forma expresa para Inc. 03 y 04. No traspone por Matriz. Solicita p/GMAP."
"152","001","Vacunas","Se habilito a solicitud del MSP por mail el 27/7/2012, Ob. Gasto habilitado forma expresa, no podrán ser reforzantes por Ley Pto. Nal. 19.355 2015-2019 - Inciso 12 ""MSP"". Habilitado forma expresa Inc. 12 -Ej. 2024. Res. 012742 de 14/12/2023. No traspone por Matriz. Se solicita p/GMAP."
"152","002","Medicamentos oncológicos por amparos judiciales","A solicitud del MSP por mail de fecha 27/7/2012, Obj./Gasto habilitado forma expresa, No podrá ser reforzante p/Ley Pto. Nal. 19.355-2015-2019 p/Inc.12 ""MSP""
Habilitado forma expresa p/Inc. 12, Ej. 2024, Res. 012742 de 14/12/2023. No traspone p/Matriz. Se solicita p/GMAP."
"152","003","Complemento vacunas influenza COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","004","Kits de diagnóstico COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","005","Fármacos analgésicos COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","006","Vacunas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","007","Ampollas de morfina COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
